Location,Period,Injury_Deaths
(WHO) Global,2017,336271
(WHO) Global,2016,345651
(WHO) Global,2015,352633
(WHO) Global,2014,353162
(WHO) Global,2013,355727
(WHO) Global,2012,357747
(WHO) Global,2011,362988
(WHO) Global,2010,400693
(WHO) Global,2009,370249
(WHO) Global,2008,394849
(WHO) Global,2007,378479
(WHO) Global,2006,384874
(WHO) Global,2005,390052
(WHO) Global,2004,429320
(WHO) Global,2003,407163
(WHO) Global,2002,420795
(WHO) Global,2001,434562
(WHO) Global,2000,448311
Africa,2000,129069
Africa,2001,129990
Africa,2002,131063
Africa,2003,131058
Africa,2004,131839
Africa,2005,132702
Africa,2006,136026
Africa,2007,138784
Africa,2008,140996
Africa,2009,145142
Africa,2010,148686
Africa,2011,152252
Africa,2012,153953
Africa,2013,157478
Africa,2014,162032
Africa,2015,163892
Africa,2016,165328
Africa,2017,163143
Americas,2017,16532
Americas,2016,16858
Americas,2015,17215
Americas,2014,17251
Americas,2013,17738
Americas,2012,18346
Americas,2011,18746
Americas,2010,53836
Americas,2009,19714
Americas,2008,20013
Americas,2007,21005
Americas,2006,22217
Americas,2005,22774
Americas,2004,23594
Americas,2003,23999
Americas,2002,25813
Americas,2001,26404
Americas,2000,27244
South-East Asia,2017,59252
South-East Asia,2016,62405
South-East Asia,2015,65634
South-East Asia,2014,67582
South-East Asia,2013,71567
South-East Asia,2012,75276
South-East Asia,2011,79822
South-East Asia,2010,84230
South-East Asia,2009,88756
South-East Asia,2008,114090
South-East Asia,2007,97087
South-East Asia,2006,101127
South-East Asia,2005,104976
South-East Asia,2004,139957
South-East Asia,2003,111555
South-East Asia,2002,114741
South-East Asia,2001,118270
South-East Asia,2000,120979
Europe,2017,7016
Europe,2016,7361
Europe,2015,7667
Europe,2014,8154
Europe,2013,8535
Europe,2012,8556
Europe,2011,8755
Europe,2010,9209
Europe,2009,9113
Europe,2008,9391
Europe,2007,9580
Europe,2006,10017
Europe,2005,10717
Europe,2004,11244
Europe,2003,11442
Europe,2002,12103
Europe,2001,12852
Europe,2000,13595
Eastern Mediterranean,2017,55039
Eastern Mediterranean,2016,56579
Eastern Mediterranean,2015,58709
Eastern Mediterranean,2014,57265
Eastern Mediterranean,2013,57305
Eastern Mediterranean,2012,55862
Eastern Mediterranean,2011,55293
Eastern Mediterranean,2010,54531
Eastern Mediterranean,2009,54294
Eastern Mediterranean,2008,53752
Eastern Mediterranean,2007,53026
Eastern Mediterranean,2006,52698
Eastern Mediterranean,2005,52436
Eastern Mediterranean,2004,52463
Eastern Mediterranean,2003,52375
Eastern Mediterranean,2002,52392
Eastern Mediterranean,2001,52792
Eastern Mediterranean,2000,52985
Western Pacific,2017,35286
Western Pacific,2016,37118
Western Pacific,2015,39513
Western Pacific,2014,40876
Western Pacific,2013,43102
Western Pacific,2012,45752
Western Pacific,2011,48118
Western Pacific,2010,50198
Western Pacific,2009,53228
Western Pacific,2008,56605
Western Pacific,2007,58995
Western Pacific,2006,62786
Western Pacific,2005,66445
Western Pacific,2004,70222
Western Pacific,2003,76732
Western Pacific,2002,84681
Western Pacific,2001,94252
Western Pacific,2000,104437
